eps minPts clusters noise
1 1 clusters=7 noise=1611
1 2 clusters=0 noise=1625
1 3 clusters=0 noise=1625
1 4 clusters=0 noise=1625
1 5 clusters=0 noise=1625
1 6 clusters=0 noise=1625
1 7 clusters=0 noise=1625
1 8 clusters=0 noise=1625
1 9 clusters=0 noise=1625
2 1 clusters=44 noise=1529
2 2 clusters=7 noise=1603
2 3 clusters=1 noise=1621
2 4 clusters=0 noise=1625
2 5 clusters=0 noise=1625
2 6 clusters=0 noise=1625
2 7 clusters=0 noise=1625
2 8 clusters=0 noise=1625
2 9 clusters=0 noise=1625
3 1 clusters=110 noise=862
3 2 clusters=47 noise=988
3 3 clusters=24 noise=1114
3 4 clusters=11 noise=1208
3 5 clusters=6 noise=1285
3 6 clusters=3 noise=1324
3 7 clusters=2 noise=1355
3 8 clusters=3 noise=1380
3 9 clusters=1 noise=1412
4 1 clusters=17 noise=308		silhouette = -0.08191120192360728 	dunn= 0.37830940481283704	1281 in clasa 0
4 2 clusters=4 noise=334
4 3 clusters=2 noise=344
4 4 clusters=1 noise=354
4 5 clusters=1 noise=364
4 6 clusters=1 noise=365
4 7 clusters=1 noise=368
4 8 clusters=1 noise=371
4 9 clusters=1 noise=374
5 1 clusters=2 noise=66
5 2 clusters=1 noise=68
5 3 clusters=1 noise=68
5 4 clusters=1 noise=71
5 5 clusters=1 noise=72
5 6 clusters=1 noise=76
5 7 clusters=1 noise=76
5 8 clusters=1 noise=76
5 9 clusters=1 noise=76
6 1 clusters=1 noise=3
6 2 clusters=1 noise=3
6 3 clusters=1 noise=3
6 4 clusters=1 noise=3
6 5 clusters=1 noise=3
6 6 clusters=1 noise=3
6 7 clusters=1 noise=3
6 8 clusters=1 noise=3
6 9 clusters=1 noise=3
7 1 clusters=1 noise=0
7 2 clusters=1 noise=0
7 3 clusters=1 noise=0
7 4 clusters=1 noise=0
7 5 clusters=1 noise=0
7 6 clusters=1 noise=0
7 7 clusters=1 noise=0
7 8 clusters=1 noise=0
7 9 clusters=1 noise=0
8 1 clusters=1 noise=0
8 2 clusters=1 noise=0
8 3 clusters=1 noise=0
8 4 clusters=1 noise=0
8 5 clusters=1 noise=0
8 6 clusters=1 noise=0
