1 clusters=50 noise=3071
1.0 2 clusters=5 noise=3161
1.0 3 clusters=3 noise=3167
1.0 4 clusters=2 noise=3171
1.0 5 clusters=2 noise=3171
1.0 6 clusters=0 noise=3183
1.0 7 clusters=0 noise=3183
1.0 8 clusters=0 noise=3183
1.0 9 clusters=0 noise=3183
1.1 1 clusters=56 noise=3059
1.1 2 clusters=5 noise=3161
1.1 3 clusters=3 noise=3167
1.1 4 clusters=2 noise=3171
1.1 5 clusters=2 noise=3171
1.1 6 clusters=0 noise=3183
1.1 7 clusters=0 noise=3183
1.1 8 clusters=0 noise=3183
1.1 9 clusters=0 noise=3183
1.2 1 clusters=67 noise=3030
1.2 2 clusters=10 noise=3144
1.2 3 clusters=4 noise=3163
1.2 4 clusters=2 noise=3171
1.2 5 clusters=2 noise=3171
1.2 6 clusters=0 noise=3183
1.2 7 clusters=0 noise=3183
1.2 8 clusters=0 noise=3183
1.2 9 clusters=0 noise=3183
1.3 1 clusters=89 noise=2977
1.3 2 clusters=19 noise=3117
1.3 3 clusters=4 noise=3163
1.3 4 clusters=2 noise=3171
1.3 5 clusters=2 noise=3171
1.3 6 clusters=0 noise=3183
1.3 7 clusters=0 noise=3183
1.3 8 clusters=0 noise=3183
1.3 9 clusters=0 noise=3183
1.4 1 clusters=112 noise=2918
1.4 2 clusters=27 noise=3088
1.4 3 clusters=7 noise=3150
1.4 4 clusters=3 noise=3166
1.4 5 clusters=2 noise=3171
1.4 6 clusters=0 noise=3183
1.4 7 clusters=0 noise=3183
1.4 8 clusters=0 noise=3183
1.4 9 clusters=0 noise=3183
1.5 1 clusters=138 noise=2835
1.5 2 clusters=31 noise=3049
1.5 3 clusters=15 noise=3107
1.5 4 clusters=6 noise=3145
1.5 5 clusters=4 noise=3159
1.5 6 clusters=0 noise=3183
1.5 7 clusters=0 noise=3183
1.5 8 clusters=0 noise=3183
1.5 9 clusters=0 noise=3183
1.6 1 clusters=147 noise=2760
1.6 2 clusters=38 noise=2978
1.6 3 clusters=20 noise=3051
1.6 4 clusters=12 noise=3093
1.6 5 clusters=8 noise=3121
1.6 6 clusters=1 noise=3166
1.6 7 clusters=1 noise=3173
1.6 8 clusters=1 noise=3173
1.6 9 clusters=1 noise=3173
1.7 1 clusters=167 noise=2643
1.7 2 clusters=51 noise=2875
1.7 3 clusters=27 noise=2980
1.7 4 clusters=14 noise=3046
1.7 5 clusters=10 noise=3071
1.7 6 clusters=7 noise=3111
1.7 7 clusters=6 noise=3128
1.7 8 clusters=3 noise=3154
1.7 9 clusters=2 noise=3163
1.8 1 clusters=181 noise=2521
1.8 2 clusters=67 noise=2749
1.8 3 clusters=33 noise=2888
1.8 4 clusters=18 noise=2973
1.8 5 clusters=12 noise=3023
1.8 6 clusters=8 noise=3065
1.8 7 clusters=8 noise=3078
1.8 8 clusters=6 noise=3110
1.8 9 clusters=3 noise=3136
1.9 1 clusters=177 noise=2404
1.9 2 clusters=64 noise=2630
1.9 3 clusters=34 noise=2764
1.9 4 clusters=23 noise=2855
1.9 5 clusters=16 noise=2932
1.9 6 clusters=12 noise=2978
1.9 7 clusters=9 noise=3013
1.9 8 clusters=8 noise=3030
1.9 9 clusters=5 noise=3067
2.0 1 clusters=179 noise=2238
2.0 2 clusters=68 noise=2460
2.0 3 clusters=32 noise=2615
2.0 4 clusters=18 noise=2722
2.0 5 clusters=15 noise=2791
2.0 6 clusters=10 noise=2862
2.0 7 clusters=8 noise=2898
2.0 8 clusters=9 noise=2915
2.0 9 clusters=9 noise=2927
2.1 1 clusters=161 noise=2082
2.1 2 clusters=55 noise=2294
2.1 3 clusters=25 noise=2447
2.1 4 clusters=20 noise=2539
2.1 5 clusters=15 noise=2613
2.1 6 clusters=10 noise=2706
2.1 7 clusters=8 noise=2747
2.1 8 clusters=7 noise=2774
2.1 9 clusters=6 noise=2819
2.2 1 clusters=152 noise=1900
2.2 2 clusters=53 noise=2098
2.2 3 clusters=30 noise=2243
2.2 4 clusters=15 noise=2350
2.2 5 clusters=14 noise=2434
2.2 6 clusters=14 noise=2500
2.2 7 clusters=9 noise=2554
2.2 8 clusters=7 noise=2617
2.2 9 clusters=6 noise=2665
2.3 1 clusters=137 noise=1728
2.3 2 clusters=49 noise=1904
2.3 3 clusters=21 noise=2056
2.3 4 clusters=14 noise=2145
2.3 5 clusters=10 noise=2219
2.3 6 clusters=11 noise=2266
2.3 7 clusters=11 noise=2340
2.3 8 clusters=7 noise=2395
2.3 9 clusters=3 noise=2476
2.4 1 clusters=109 noise=1586
2.4 2 clusters=39 noise=1726
2.4 3 clusters=19 noise=1850
2.4 4 clusters=15 noise=1950
2.4 5 clusters=10 noise=2021
2.4 6 clusters=9 noise=2064
2.4 7 clusters=8 noise=2109
2.4 8 clusters=9 noise=2169
2.4 9 clusters=6 noise=2233
2.5 1 clusters=95 noise=1419
2.5 2 clusters=39 noise=1531
2.5 3 clusters=22 noise=1634
2.5 4 clusters=14 noise=1732
2.5 5 clusters=10 noise=1802
2.5 6 clusters=6 noise=1857
2.5 7 clusters=6 noise=1898
2.5 8 clusters=7 noise=1954
2.5 9 clusters=6 noise=1998
2.6 1 clusters=79 noise=1264
2.6 2 clusters=34 noise=1354
2.6 3 clusters=23 noise=1434
