0.01 1 clusters=102 noise=3245
0.01 2 clusters=17 noise=3415
0.01 3 clusters=3 noise=3457
0.01 4 clusters=1 noise=3467
0.01 5 clusters=1 noise=3467
0.01 6 clusters=0 noise=3473
0.01 7 clusters=0 noise=3473
0.01 8 clusters=0 noise=3473
0.01 9 clusters=0 noise=3473
0.02 1 clusters=24 noise=393	-> 3015 in clasa 0
0.02 2 clusters=11 noise=419
0.02 3 clusters=6 noise=448		-> 3004 in clasa 0
0.02 4 clusters=3 noise=472
0.02 5 clusters=2 noise=496
0.02 6 clusters=1 noise=514
0.02 7 clusters=1 noise=526
0.02 8 clusters=1 noise=542
0.02 9 clusters=1 noise=547
0.03 1 clusters=1 noise=43
0.03 2 clusters=1 noise=43
0.03 3 clusters=1 noise=43
0.03 4 clusters=1 noise=43
0.03 5 clusters=1 noise=43
0.03 6 clusters=1 noise=43
0.03 7 clusters=1 noise=43
0.03 8 clusters=1 noise=43
0.03 9 clusters=1 noise=43
0.04 1 clusters=1 noise=0
0.04 2 clusters=1 noise=0
0.04 3 clusters=1 noise=0
0.04 4 clusters=1 noise=0
